Primary_Sponsor,Direct_Sponsors,Project_Wbs_Id,G_C,Profit_Center_Id,Sponsor_Contract_Number,Supervisor,Project_W,Project_Wbs Expiration_D,Fytd_Amount,Auth_Total,Unexpended_Balance
000100 Air Force,009001 Lincoln Laboratory,6920775,C,P267300,7000087748,Chan /Vincent W. S.,10/01/09,09/30/16,6116,1660295,0
,,6923385,C,P267110,7000139390,Bulovic /Vladimir,11/01/10,06/30/16,-29,362500,0
,,6927127,C,P267300,7000221325,Orlando /Terry Philip,12/01/12,11/30/16,9208,508009,0
,,6928592,C,P061097,7000249226,Cahoy /Kerri,09/01/13,08/31/17,0,44680,0
,,6928727,C,P061097,7000249226,Cahoy /Kerri,09/01/13,08/31/14,0,30320,0
,,6928933,C,P061093,7000243692,Hansman /Robert J,11/01/13,12/31/17,100485,430000,152302
,,6929045,C,P039000,PO 7000255976,Raskar /Ramesh,10/01/13,12/31/16,55550,428118,0
,,6929066,C,P067952,PO 7000259926,Rus /Daniela L,01/01/14,12/31/16,71408,237125,1791
,,6929208,C,P067952,PO 7000261350,Mithal /Arvind,01/01/14,12/31/16,76858,466838,-13548
,,6929210,C,P067952,PO 7000261956,Devadas /Srinivas,01/01/14,09/30/16,16596,291739,0
,,6929506,C,P067952,PO 7000264837,Glass /James R,10/01/13,12/31/16,33108,134969,0
,,6930852,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,0,5996121,5996104
,,6930855,C,P067952,PO 7000290454,Glass /James R,09/01/14,07/31/16,4774,155729,0
,,6930859,C,P267300,7000290592,Orlando /Terry Philip,09/01/14,08/31/19,1098747,3240000,127987
,,6930950,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,125009,0,-342524
,,6930951,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,145649,0,-239665
,,6930952,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,505646,0,-1315796
,,6930954,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,423113,0,-1070498
,,6930955,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,775682,0,-1912081
,,6930956,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,5778,0,-5778
,,6930957,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,110565,0,-389937
,,6930958,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,131245,0,-331762
,,6930959,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,0,0,-115
,,6930960,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,11/30/14,0,0,0
,,6930961,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,0,0,-1042
,,6930963,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,0,0,-3733
,,6930964,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,6648,0,-26726
,,6930965,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,0,0,-5234
,,6930986,C,P069400,7000291604,Madnick /Stuart E,01/01/15,03/31/18,311066,673939,138881
,,6931035,C,P267300,7000293260,Shapiro /Jeffrey H,10/01/14,09/30/16,31196,134956,0
,,6931101,C,P061097,PO 7000294843,Cahoy /Kerri,07/01/14,12/31/16,12363,100000,1
,,6931130,C,P267600,PO 7000295944,Watts /Michael,10/01/14,06/30/17,54804,310000,50525
,,6931206,C,P067952,PO 7000259926,Shah /Julie A,01/01/14,12/31/16,12304,153125,480
,,6931297,C,P065005,PO #7000299111,Lermusiaux /Pierre,10/01/14,09/30/16,42625,123324,0
,,6931301,C,P065005,PO #7000299111,Liu /Yuming,10/01/14,09/30/16,14430,98350,0
,,6931372,C,P401710,PO #7000289543,Lonsdale /Colin John,10/01/14,09/30/17,159705,0,-230526
