source,target,value
Dept of Earth Atmospheric & Planetary Sciences, Raffaele Ferrari, 2,
Research Laboratory of Electronics, Chathan Cooke, 6,
Dept of Electrical Engineering & Computer Science, Michael Carbin, 5,
Office of the Provost, Ronald Rivest, 2,
Department of Physics, Bruno Coppi, 6,
Department of Physics, Richard Temkin, 8,
Department of Mechanical Engineering, Thomas Peacock, 8,
Department of Brain and Cognitive Sciences, Matthew Wilson, 4,
Dept of Electrical Engineering & Computer Science, Dimitri Antoniadis, 8,
Department of Materials Science and Engineering, Gerbrand Ceder, 5,
Sloan School of Management, Erik Brynjolfsson, 6,
Program in Media Arts and Sciences, Fadel Adib, 3,
Department of Chemistry, Keith Nelson, 6,
Dept of Electrical Engineering & Computer Science, Max Shulaker, 2,
McGovern Institute for Brain Research, Dimitrios Pantazis, 9,
Department of Aeronautics and Astronautics, Zoltan Spakovszky, 10,
Office of the Institute Professors, Barbara Liskov, 6,
Dept of Electrical Engineering & Computer Science, Hae-Seung Lee, 8,
Department of Biological Engineering, Angela Koehler, 8,
David H Koch Institute for Integrative Cancer Res, Chengcheng Jin, 8,
Department of Materials Science and Engineering, Lorna Gibson, 5,
Dept of Electrical Engineering & Computer Science, David Karger, 8,
Department of Biological Engineering, Angela Belcher, 5,
Sloan School of Management, Retsef Levi, 3,
Office of Undergraduate Education, DiOnetta Crayton, 8,
Program in Media Arts and Sciences, Rosalind Picard, 9,
Department of Mathematics, Elchanan Mossel, 2,
Department of Physics, Yen-Jie Lee, 8,
Department of Brain and Cognitive Sciences, Yingxi Lin, 10,
Program in Media Arts and Sciences, Patricia Maes, 1,
Sloan School of Management, Roy Welsch, 6,
Dept of Earth Atmospheric & Planetary Sciences, Robert King, 8,
Department of Civil and Environmental Engineering, Abel Sanchez, 4,
Kavli Institute for Astrophysics & Space Research, Jacqueline Hewitt, 6,
Department of Biology, Aviv Regev, 10,
Department of Aeronautics and Astronautics, Warren Hoburg, 2,
Office of the Provost, Sallie Chisholm, 10,
Department of Civil and Environmental Engineering, Ole Madsen, 10,
Department of Mechanical Engineering, Mary Boyce, 3,
Department of Nuclear Science and Engineering, Matteo Bucci, 2,
Dept of Electrical Engineering & Computer Science, James Fujimoto, 1,
Department of Architecture, Leslie Norford, 9,
Dept of Electrical Engineering & Computer Science, Leslie Kaelbling, 3,
Department of Mechanical Engineering, Mandayam Srinivasan, 3,
Institute for Soldier Nanotechnologies, Steven Kooi, 6,
Department of Chemistry, Mei Hong, 10,
Department of Physics, Jeff Gore, 7,
Department of Civil and Environmental Engineering, Janelle Thompson, 5,
Sloan School of Management, Jason Jay, 10,
Department of Aeronautics and Astronautics, Karen Willcox, 10,
Dept of Electrical Engineering & Computer Science, Steven Leeb, 4,
Computer Science & Artificial Intelligence Lab, Boris Katz, 4,
Department of Physics, Gunther Roland, 2,
Department of Aeronautics and Astronautics, Brian Williams, 10,
Department of Chemistry, Adam Willard, 5,
Kavli Institute for Astrophysics & Space Research, Peter Fritschel, 8,
Department of Mechanical Engineering, Brian Anthony, 7,
Dept of Electrical Engineering & Computer Science, Thomas Heldt, 9,
Department of Chemical Engineering, William Tisdale, 2,
Dept of Earth Atmospheric & Planetary Sciences, Julien de Wit, 3,
Kavli Institute for Astrophysics & Space Research, George Ricker, 7,
Office of the Provost, Karen Shirer, 2,
Department of Urban Studies and Planning, Balakrishnan Rajagopal, 9,
Dept of Electrical Engineering & Computer Science, Gerald Sussman, 4,
Department of Mechanical Engineering, Ahmed Ghoniem, 5,
Department of Chemical Engineering, Karl Wittrup, 10,
Office of the Provost, Richard Lester, 3,
Comparative Media Studies/Writing, Federico Casalegno, 9,
Dept of Electrical Engineering & Computer Science, Randall Davis, 3,
Dept of Earth Atmospheric & Planetary Sciences, Thomas Herring, 9,
Department of Chemical Engineering, James Swan, 4,
David H Koch Institute for Integrative Cancer Res, Tyler Jacks, 5,
Plasma Science and Fusion Center, Abhay Ram, 4,
Department of Mathematics, Daniel Freedman, 9,
Department of Mechanical Engineering, Mathias Kolle, 3,
Department of Physics, Richard Milner, 5,
Department of Brain and Cognitive Sciences, Laura Schulz, 1,
Department of Mathematics, Roman Bezrukavnikov, 2,
Sloan School of Management, Glen Urban, 4,
Department of Nuclear Science and Engineering, Neil Todreas, 1,
Department of Urban Studies and Planning, Joseph Ferreira, 1,
Lemelson/MIT Program, Michael Cima, 9,
Department of Biological Engineering, John Wishnok, 8,
Department of Political Science, Charles Stewart, 6,
Department of Chemical Engineering, Allan Myerson, 6,
David H Koch Institute for Integrative Cancer Res, Anette Schafer, 7,
Plasma Science and Fusion Center, Joseph Minervini, 4,
Department of Brain and Cognitive Sciences, Roger Levy, 1,
Department of Biological Engineering, Ahmed Fazly, 1,
Department of Biological Engineering, Mark Bathe, 3,
Plasma Science and Fusion Center, Stephen Wukitch, 9,
Abdul Latif Jameel Poverty Action Lab, Mary Bates, 8,
Department of Biology, Susumu Tonegawa, 2,
Department of Physics, Raymond Ashoori, 3,
Department of Physics, Earl Marmar, 8,
School of Engineering, Vladimir Bulovic, 4,
Department of Aeronautics and Astronautics, Jaime Peraire, 10,
School of Engineering, Nicholas Ashford, 7,
Kavli Institute for Astrophysics & Space Research, Mark Schattenburg, 10,
Department of Urban Studies and Planning, Alan Berger, 6,
Department of Civil and Environmental Engineering, Daniele Veneziano, 4,
Department of Mechanical Engineering, Yuming Liu, 9,
